Dance,Song Title,Artist/Group,Found,Feature
2ST,A Little Left Over,Vince Gill,True,"[-1.36940125e+02  1.49731781e+02 -4.72801704e+01  4.60162888e+01
 -6.51355791e+00  3.16097012e+01 -9.30497456e+00  1.11297178e+01
 -2.72280359e+00  5.52564442e-01 -3.94719505e+00 -1.30324256e+00
  2.80253506e+00  3.90214652e-01  4.83997345e-01  6.12041593e-01
  4.95311677e-01  5.20079970e-01  4.91435319e-01  4.80721146e-01
  3.67400348e-01  3.53945076e-01  4.66545492e-01  3.95978600e-01
  3.94233823e-01  1.47291570e+01  1.06808506e+01  1.51058892e+01
  1.75860268e+01  1.78874755e+01  1.76986521e+01  4.60538499e+01
  6.35277716e-02  9.93840144e+01]"
2ST,Act Naturally,Ann Tayler,True,"[-9.06703415e+01  1.37351929e+02 -3.95545921e+01  3.11662941e+01
 -1.24946651e+01  3.34733582e+01 -2.46441040e+01  2.43870659e+01
 -1.27268343e+01  1.05483761e+01 -6.55111694e+00  4.29362917e+00
 -1.07691574e+01  3.52546722e-01  5.32779157e-01  3.07587862e-01
  3.94471407e-01  3.50584060e-01  3.55223298e-01  6.33709610e-01
  3.40424061e-01  3.11194509e-01  2.83064723e-01  4.48155165e-01
  5.42480886e-01  1.48901662e+01  1.11408129e+01  1.64457748e+01
  2.00288805e+01  2.04924486e+01  2.16322609e+01  4.76820370e+01
  8.68292180e-02  9.22851562e+01]"
2ST,All Nighter Comin',Vince Gill,True,"[-7.03410797e+01  1.60440674e+02 -3.59475861e+01  5.64524536e+01
 -1.43347073e+01  2.83356419e+01 -1.92988033e+01  1.36804571e+01
 -1.98898041e+00  5.49526787e+00 -5.58332539e+00  3.20460343e+00
  2.81554842e+00  4.39807802e-01  4.04347003e-01  4.07253832e-01
  4.38959122e-01  5.38320720e-01  5.02882540e-01  5.21225929e-01
  4.99509960e-01  4.71135855e-01  4.62110072e-01  4.66375709e-01
  5.52318156e-01  1.58520029e+01  9.89445658e+00  1.41485874e+01
  1.69613689e+01  1.57079752e+01  1.65917296e+01  4.85662912e+01
  5.18396336e-02  8.91029095e+01]"
2ST,American Kids,Kenny Chesney,True,"[-9.64451370e+01  1.08573479e+02 -1.96992893e+01  5.22386131e+01
 -9.87647152e+00  3.76539230e+01 -1.80806675e+01  2.74134007e+01
 -1.07552080e+01  1.61227112e+01 -1.36542730e+01  1.69780636e+01
 -6.65934467e+00  5.62747240e-01  4.92313117e-01  5.31743884e-01
  4.90420461e-01  4.79161918e-01  4.60331351e-01  4.79975402e-01
  5.15238643e-01  4.76578385e-01  4.85783398e-01  5.13949811e-01
  6.06081605e-01  1.72214529e+01  1.28386651e+01  1.58860143e+01
  1.65906930e+01  1.61400884e+01  1.74493104e+01  4.92034753e+01
  8.14821226e-02  8.47207992e+01]"
2ST,Angelina,Keb' Mo,True,"[-1.92345261e+02  1.41972031e+02  3.25845075e+00  4.40405693e+01
  4.92394114e+00  2.89522247e+01  1.61724401e+00  1.21476049e+01
 -2.18289876e+00  4.46341562e+00 -3.81982088e+00  2.80254316e+00
 -2.44396186e+00  4.15537506e-01  3.61630648e-01  3.34042042e-01
  3.22369546e-01  3.52896065e-01  3.33539844e-01  3.70933354e-01
  3.84618312e-01  4.89605844e-01  6.92472219e-01  5.98912835e-01
  4.85527158e-01  1.49827321e+01  1.31663530e+01  1.84180690e+01
  1.87237985e+01  1.82559462e+01  1.76675429e+01  4.31508130e+01
  3.48004320e-02  9.57031250e+01]"
2ST,Baby In the Dark,Cash On Delivery,True,"[-1.34780960e+02  1.44356293e+02 -2.92087936e+01  5.56813850e+01
 -6.57943058e+00  2.63290348e+01 -1.29835825e+01  1.70409184e+01
 -1.14093466e+01  6.01187992e+00  1.96769238e+00  4.12092876e+00
 -6.87135983e+00  3.42381626e-01  4.45678532e-01  5.48765302e-01
  4.48055536e-01  4.36434388e-01  3.77437651e-01  4.24694240e-01
  4.42964524e-01  4.45337057e-01  5.72057903e-01  4.68926311e-01
  4.17353392e-01  1.49482956e+01  1.14441352e+01  1.71633269e+01
  2.05269368e+01  2.01064850e+01  1.96908006e+01  4.62491311e+01
  6.25653813e-02  9.39630682e+01]"
2ST,Baby Please Don't Go,Vince Gill,True,"[-1.13979271e+02  1.46916428e+02 -2.23333168e+01  5.45519409e+01
 -1.73876362e+01  3.33078499e+01 -1.46644249e+01  1.65229626e+01
 -5.36112499e+00  5.40091896e+00 -8.71358299e+00  6.19116879e+00
 -2.18027973e+00  5.85625410e-01  4.63721871e-01  3.51334810e-01
  3.21523666e-01  3.28241438e-01  3.52982342e-01  3.50329250e-01
  4.82051700e-01  4.04901981e-01  3.78506869e-01  4.64096874e-01
  4.86937016e-01  1.61628231e+01  1.18065379e+01  1.53787333e+01
  1.72906653e+01  1.66668955e+01  1.67884910e+01  4.77245360e+01
  5.23545587e-02  9.93840144e+01]"
2ST,Bees Left the Trees,Sugar & The Hi Lows,True,"[-8.46108475e+01  1.57364594e+02 -3.72053452e+01  3.60999031e+01
 -6.87006330e+00  3.16529846e+01 -1.05359964e+01  1.50376110e+01
 -2.70406127e+00  8.92786884e+00 -1.10776031e+00  2.97248030e+00
  4.37054920e+00  4.12664562e-01  4.82320815e-01  6.03009045e-01
  4.38033104e-01  4.63754475e-01  4.91156369e-01  5.27291298e-01
  6.25490665e-01  5.53360999e-01  5.81253171e-01  4.85300124e-01
  4.50812042e-01  1.15407263e+01  9.13528573e+00  1.38683568e+01
  1.59994782e+01  1.68275704e+01  1.79909860e+01  4.69007638e+01
  5.71880518e-02  9.93840144e+01]"
2ST,Besides Mama,Jenny Farrell,True,"[-9.00794601e+01  1.29570892e+02 -1.97631454e+01  4.72654190e+01
 -1.45293741e+01  3.17457466e+01 -1.47700739e+01  2.38409634e+01
 -7.23025846e+00  6.61302710e+00 -1.85184920e+00  6.13013268e+00
 -5.91847658e+00  5.10275364e-01  4.61860448e-01  4.31616098e-01
  4.16490257e-01  4.16559845e-01  4.74956036e-01  4.30407226e-01
  4.88164485e-01  4.61348265e-01  4.74983603e-01  5.11748433e-01
  4.77115929e-01  1.69963025e+01  1.08972599e+01  1.65634687e+01
  1.88614225e+01  1.87629913e+01  1.95719951e+01  4.77261578e+01
  6.62118067e-02  1.84570312e+02]"
2ST,Better Than That,Scotty McCreery,True,"[-4.89344292e+01  1.42476562e+02 -2.72951584e+01  5.70766182e+01
 -1.61115322e+01  3.91854362e+01 -2.51410770e+01  1.44567728e+01
 -1.35171423e+01  9.31481552e+00 -6.10692692e+00  7.00107098e+00
 -2.64642119e+00  3.67834032e-01  3.92087549e-01  5.45675457e-01
  4.40162927e-01  4.04310614e-01  3.37350130e-01  3.89019310e-01
  4.74248469e-01  4.17351395e-01  5.04235864e-01  4.39194441e-01
  4.51520830e-01  1.42973102e+01  1.03584343e+01  1.55848626e+01
  1.75607736e+01  1.78362515e+01  1.79625236e+01  4.76821378e+01
  6.69529209e-02  8.75926907e+01]"
2ST,Big Shot,Jason Meadows,True,"[-8.70756226e+01  1.43005280e+02 -3.39970818e+01  6.02454147e+01
 -1.00335150e+01  3.07399712e+01 -2.00887127e+01  1.67202339e+01
 -6.67516899e+00  1.09559822e+01 -4.81359386e+00  5.96454477e+00
 -1.18148839e+00  5.84773362e-01  4.94124889e-01  4.45872068e-01
  3.91503185e-01  3.70136231e-01  4.40688431e-01  3.96163106e-01
  4.26420033e-01  4.30125713e-01  4.66571242e-01  4.65555578e-01
  4.56979156e-01  1.35792798e+01  1.11963675e+01  1.57295578e+01
  1.81114008e+01  1.76917056e+01  1.83694350e+01  4.82747087e+01
  5.97836521e-02  9.39630682e+01]"
2ST,Bright Side Of The Road,Brent Woodall,True,"[-1.05972122e+02  1.47988480e+02 -4.75250587e+01  5.24665108e+01
 -9.89524651e+00  2.64092579e+01 -1.41550856e+01  1.35207872e+01
 -5.18628407e+00  3.40523934e+00 -1.05483322e+01  4.65996790e+00
  1.68168396e-01  3.92721325e-01  3.41159225e-01  4.25543010e-01
  4.30544168e-01  4.19045269e-01  5.06716728e-01  4.76215929e-01
  5.04895508e-01  4.05993491e-01  4.30303007e-01  5.25474191e-01
  4.29945916e-01  1.33583382e+01  1.02444618e+01  1.56094262e+01
  1.79858068e+01  1.80755912e+01  1.88096472e+01  4.75515752e+01
  7.34443783e-02  8.91029095e+01]"
2ST,Bruises,Train Feat Ashley Monroe,True,"[-6.68268890e+01  1.37353836e+02 -3.64035797e+01  6.17232857e+01
 -9.79975224e+00  3.68548889e+01 -1.14296637e+01  1.84328537e+01
 -6.18810844e+00  1.24658699e+01 -3.67037988e+00  5.73522282e+00
  3.01656961e+00  4.40704018e-01  5.39754927e-01  6.44619763e-01
  5.40627182e-01  5.63199639e-01  4.75802243e-01  4.86359447e-01
  4.65300143e-01  4.66962308e-01  6.06316209e-01  5.21523356e-01
  4.92052019e-01  1.73784680e+01  1.08343069e+01  1.54896585e+01
  1.78109841e+01  1.77545718e+01  1.80267245e+01  4.44287315e+01
  5.85351714e-02  1.03359375e+02]"
2ST,Burying Bones By the Dozen,Ralph Parker,True,"[-8.50513611e+01  1.47046906e+02 -3.13669281e+01  4.28554420e+01
 -4.60285521e+00  3.41130676e+01 -1.73972492e+01  1.37958984e+01
 -7.60594320e+00  1.37219582e+01 -5.19332361e+00  4.37209368e+00
 -9.92280066e-01  4.84723210e-01  4.92934048e-01  4.67875570e-01
  4.35083479e-01  5.23704052e-01  3.98116738e-01  3.70376199e-01
  4.02491480e-01  4.30586636e-01  5.69416165e-01  4.68305618e-01
  4.61921871e-01  1.27188043e+01  1.04219787e+01  1.53981214e+01
  1.82321191e+01  1.80157543e+01  1.83804672e+01  4.76382588e+01
  6.30105789e-02  9.57031250e+01]"
2ST,Cadillac Cowboy,Aaron Watson with Justin McBride,True,"[-8.90327225e+01  1.67092224e+02 -4.75851326e+01  4.32005043e+01
 -8.29911804e+00  2.40472336e+01 -7.84333420e+00  1.09343271e+01
 -2.35099220e+00  6.03585482e+00  2.43331099e+00  3.49165010e+00
  1.43271196e+00  3.91358823e-01  4.66032088e-01  5.56202412e-01
  4.66740042e-01  4.47130471e-01  4.39179659e-01  4.53118324e-01
  4.36705232e-01  4.41966444e-01  6.04503810e-01  4.84108031e-01
  4.15732384e-01  1.44056252e+01  1.02072210e+01  1.50488270e+01
  1.72080504e+01  1.75937205e+01  1.85043780e+01  4.60671410e+01
  5.66462939e-02  1.01332721e+02]"
2ST,Call Me the Breeze,John Mayer,True,"[-1.55171890e+02  1.56436050e+02 -3.56390476e+00  4.41020813e+01
  8.19209671e+00  2.42779579e+01 -2.22536826e+00  1.33557072e+01
 -1.66432902e-01  9.52574444e+00  2.19773531e+00 -4.04049277e-01
 -1.70290482e+00  5.23471355e-01  5.23820102e-01  3.95147294e-01
  3.64852041e-01  4.50155765e-01  4.91099507e-01  5.85822403e-01
  5.61655462e-01  4.61745173e-01  3.93399656e-01  3.87110710e-01
  4.50685620e-01  1.60563185e+01  1.27997151e+01  1.63300436e+01
  1.79381351e+01  1.78991931e+01  1.72368989e+01  4.32467040e+01
  3.03854928e-02  8.75926907e+01]"
2ST,Can't Let Go,Jill King,True,"[-6.91083679e+01  1.49466888e+02 -3.95572472e+01  5.22278099e+01
 -1.37559528e+01  2.17358742e+01 -2.00028782e+01  1.78102226e+01
 -1.00457029e+01  6.31586409e+00  1.58734548e+00  3.62400502e-01
 -4.56072044e+00  4.65638757e-01  3.53495389e-01  3.08746964e-01
  3.57791334e-01  4.58348602e-01  3.33105534e-01  3.07714611e-01
  3.76062840e-01  4.11013097e-01  5.25207162e-01  4.34698343e-01
  4.71290380e-01  1.49992533e+01  1.11981661e+01  1.55052860e+01
  1.77274923e+01  1.75148093e+01  2.01049392e+01  4.75454795e+01
  6.61543619e-02  8.91029095e+01]"
2ST,Chicken Fried,Johnny Brady,True,"[-9.33960342e+01  1.30931061e+02 -1.73555527e+01  5.02400703e+01
 -4.00329018e+00  4.42506866e+01 -2.46947861e+01  1.78190708e+01
 -1.45728979e+01  1.11050148e+01 -9.54739666e+00  5.15412998e+00
 -6.47652483e+00  4.17052418e-01  4.48534757e-01  5.66783607e-01
  4.85068113e-01  4.07751799e-01  3.37527990e-01  4.32609588e-01
  4.88903731e-01  4.30083334e-01  4.96802509e-01  4.23653573e-01
  4.63431567e-01  1.74207329e+01  1.10545975e+01  1.70167068e+01
  1.88627488e+01  1.95087760e+01  1.94012324e+01  4.88599905e+01
  6.67327786e-02  8.47207992e+01]"
2ST,Climb That Mountain High,Reba McEntire,True,"[-1.29965744e+02  1.46786575e+02 -4.66260567e+01  6.04020348e+01
 -1.23601236e+01  2.29580917e+01 -5.48314428e+00  2.21357632e+01
 -6.96314394e-01  4.80451536e+00  5.11211348e+00  3.25750494e+00
  1.53413147e-01  4.64168489e-01  5.16293883e-01  4.12794977e-01
  4.42714810e-01  4.75837082e-01  4.08457696e-01  4.30840850e-01
  4.21859801e-01  5.35403192e-01  4.37032610e-01  4.28756773e-01
  5.17993450e-01  1.69279905e+01  1.05952784e+01  1.53504277e+01
  1.84047651e+01  1.73939407e+01  1.93223365e+01  4.70289364e+01
  6.45714160e-02  9.39630682e+01]"
2ST,Country Girl,Rissi Palmer,True,"[-9.56998749e+01  1.30092178e+02 -4.60085030e+01  4.88617134e+01
 -1.36848211e+01  2.25190468e+01 -1.29950991e+01  1.20432510e+01
 -3.87408137e-01  7.58822489e+00  4.11248970e+00  1.93629217e+00
  1.69781566e-01  3.90933365e-01  4.16702658e-01  4.00574535e-01
  5.30734539e-01  3.36265981e-01  3.22816849e-01  4.47367042e-01
  4.06801254e-01  5.22339523e-01  4.18483526e-01  4.39411074e-01
  4.06624466e-01  1.61183832e+01  1.19321847e+01  1.60496746e+01
  1.84967520e+01  1.75062597e+01  1.82832184e+01  4.90453055e+01
  7.47699560e-02  9.57031250e+01]"
