Dance,Song Title,Artist/Group
2ST,A Little Left Over,Vince Gill
2ST,Act Naturally,Ann Tayler
2ST,Ain't Nothing But A Cloud,Roger Springer Band
2ST,All Nighter Comin',Vince Gill
2ST,American Kids,Kenny Chesney
2ST,Angelina,Keb' Mo
2ST,Baby In the Dark,Cash On Delivery
2ST,Baby Please Don't Go,Vince Gill
2ST,Bad Moon Rising,John Fogerty with Zac Brown Band
2ST,Bees Left the Trees,Sugar & The Hi Lows
2ST,Besides Mama,Jenny Farrell
2ST,Better Than That,Scotty McCreery
2ST,Big Shot,Jason Meadows
2ST,Bright Side Of The Road,Brent Woodall
2ST,Bruises,Train Feat Ashley Monroe
2ST,Burying Bones By the Dozen,Ralph Parker
2ST,Cadillac Cowboy,Aaron Watson with Justin McBride
2ST,Call Me the Breeze,John Mayer
2ST,Can't Let Go,Jill King
2ST,Can't Love You Anymore,Lindsay Bruce
2ST,Chicken Fried,Johnny Brady
2ST,Climb That Mountain High,Reba McEntire
2ST,Country Girl,Rissi Palmer
2ST,Crazy Too,Lucy Angel
2ST,Damn Good Lover,Shelly Fairchild
2ST,Day Job,Gord Bamford
2ST,Definite Possibilities,Jeff Carson
2ST,Diesel Destiny,Buddy Jewell
2ST,Do You Still Want To Buy Me That Drink,Lorrie Morgan
2ST,Dog,The Bottle Rockets
2ST,Don't Make Me Beg,Steve Holy
2ST,Don't Need No Other Now,Rodney Crowell
2ST,Easy Goin',Ray Kennedy
2ST,Filler Up,Sting
2ST,Firecracker,Josh Turner
2ST,Get My Drink On,Toby Keith
2ST,Goin Swingin Tonight,Foster Martin Band
2ST,Goin' Swingin Tonight,Foster Martin Band
2ST,Gonna Fly,Amber Lawrence
2ST,Good Mistake To Make,Mallory Johnson
2ST,Good Time Charley's,George Strait
2ST,Hard Not to Love It,Steve Moakler
2ST,Haywire,Josh Turner
2ST,Hello Love,Raybon Brothers
2ST,I Could Get Used to This Lovin' Thing,Alan Jackson
2ST,I Love My Life,Jamie O'Neal
2ST,I Quit,Vince Gill
2ST,I Walk The Line (Revisited),Rodney Crowell & Johnny Cash
2ST,I Won All The Battles,Tracy Lawrence
2ST,I'll Stay Me,Luke Bryan
2ST,I'm A Woman,Wynonna Judd
2ST,If I'm Gonna Be Bad,Joanna Cotten
2ST,If That Ain't Love,Jaida Dreyer
2ST,It's Goodbye and so Long to You,Alison Krauss
2ST,Keep On Walkin',Mike Reid
2ST,Kick Back,Ty England
2ST,Knee Deep,Zac Brown Band Feat Jimmy Buffett
2ST,Knee Deep In My Heart,Shane Filan
2ST,Know You Wanna Know,Jennifer Nettles
2ST,Last Living Cowboy,Toby Keith
2ST,Lay Down Sally,Delbert McClinton
2ST,Leavin' Stephenville,Kyle Park
2ST,Let the Four Winds Blow,Scooter Lee
2ST,Little Bit Of Life,Craig Morgan
2ST,Long Sermon,Brad Paisley
2ST,Love I've Found In You,Lady Antebellum
2ST,Make It Sweet,Old Dominion
2ST,Make This Day,Zac Brown Band
2ST,Men Don't Change,Amy Dalley
2ST,Midnight Train (Rock Me),Jackson Michelson
2ST,Mile Out Of Memphis,Philip Claypool
2ST,My Baby No Esta Aqui,Garth Brooks
2ST,My Baby Plays Me Just Like A Fiddle,The Charlie Daniel's Band
2ST,My Heart's A Genius,Gord Bamford
2ST,New Way (To Light Up An Old Flame),Joe Diffie
2ST,No Place Like You,Maddie & Tae
2ST,No Time To Kill,Clint Black
2ST,Nothing Better To Do,LeAnn Rimes
2ST,Put Some Alcohol On It,Gord Bamford
2ST,Raise the Bar,Gord Bamford
2ST,Red Dirt Song,Jimmy LaFave
2ST,Redneck Woman,Gretchen Wilson
2ST,Revenge Of A Middle Aged Woman,Tracy Byrd
2ST,Rita Baloo,Vince Gill
2ST,Roll It on Home,John Mayer
2ST,Rosalee,Stacy Dean Campbell
2ST,She's Going Home With Me,Travis Tritt
2ST,Shotgun Rider,Tim McGraw
2ST,Sideways,Darryl Worley
2ST,Simple Life,Carolyn Dawn Johnson
2ST,Some Days You Gotta Dance,Keith Urban
2ST,Son Of A Ramblin Man,Vince Gill
2ST,Song Without a Name,Andrea Nixon
2ST,Southern Streamline,John Fogerty
2ST,Speed of Love,Florida Georgia Line
2ST,Spread A Little Love Around,Darryl Worley
2ST,Sweet Thing,Vince Gill
2ST,Swingin' Door,Catherine Britt
2ST,Talk Is Cheap,Alan Jackson
2ST,Texan's Hold'em,Ty England
2ST,Texas Woman,Bigfoot
2ST,That Changes Everything,Billy Currington
2ST,That's All Right,Vince Gill
2ST,That's Just Me,Blaine Larsen
2ST,That's The Way You Make An Ex,Mark Chesnutt
2ST,The Ballad of the Tennessee Texans,Kenny Davin Fine & The Tennessee Texans
2ST,The Earring Song,Gretchen Wilson
2ST,The Truck Song,Lyle Lovett
2ST,The World,Brad Paisley
2ST,Too Good Of Memory,Mark Chesnutt
2ST,Too Many Pockets,Darryl Worley
2ST,Too Much,Randy Travis Feat James Otto
2ST,Trail of Lies,Katie Armiger
2ST,Trip Around the Sun,Kenny Chesney
2ST,Twisted,Martin Ramey
2ST,Two Hearts,Levi Webb
2ST,Wake Me,Jonalee White
2ST,Were Gonna be Alright,Mike Denver
2ST,What's It Gonna Take,OJ Hanssen
2ST,When You're In Love,George Strait
2ST,Who's Gonna Get Me Over You,Darryl Worley
2ST,Why You Been Gone So Long,Gerry Guthrie
2ST,You Are What You Love,Kelleigh Bannen
CHA,Ain't Much Left Of Loving You,Randy Montana
CHA,All Night Long,The Mavericks
CHA,All Over the Road,Easton Corbin
CHA,All Wrong But Just Right,Rosehill
CHA,Always Wanting More,Lane Turner
CHA,Angel Eyes,Love and Theft
CHA,Ashes By Now,Lee Ann Womack
CHA,Bad As I Want To,Matt Jenkins
CHA,Barefootin',Scotty McCreery
CHA,Beat of the Music,Brett Eldredge
CHA,Boots & Diamonds,Ronnie Dunn
CHA,Brokenhearted,Kyle Park
CHA,Building Bridges,Brooks & Dunn
CHA,Buy Myself a Chance,Randy Rogers Band
CHA,Can't Stand the Rain,Lady Antebellum
CHA,Cheap Cologne,William Michael Morgan
CHA,Chill,Blake Shelton
CHA,Come Unto Me,The Mavericks
CHA,Commitment,LeAnn Rimes
CHA,Country,Mo Pitney
CHA,Country Never Goes Out of Style,Shane Owens
CHA,Cowboy Hat,Jon Pardi
CHA,Crackers,Sara Evans
CHA,Did It for the Girl,Greg Bates
CHA,Down In Mexico,Jerrod Niemann
CHA,Dream Walkin',Toby Keith
CHA,Drinkin' Bone,Tracy Byrd
CHA,Drinkin' Problem,Midland
CHA,Drinks After Work,Toby Keith
CHA,Drunk On Love,Brooks N Dunn
CHA,Eat Sleep Love U Repeat,Rodney Atkins
CHA,El Camino,Bigfoot
